artist_id|master_id|roles
170329|272392|Alto Saxophone
37733|272392|Baritone Saxophone
251690|272392|Bass
1846418|272392|Design
251688|272392|Drums
76038|272392|Engineer|Coordinator
1939104|272392|Photography By
37737|272392|Piano
37737|272392|Producer
288876|272392|Producer
264870|72372|Bass
490780|72372|Design
257251|72372|Drums
252966|72372|Lacquer Cut By
342667|72372|Liner Notes
292019|72372|Photography By
135873|72372|Piano
252962|72372|Producer
252966|72372|Recorded By
264872|72372|Tenor Saxophone
264871|72372|Trombone
55745|72372|Trumpet
259080|269219|Bass
154315|269219|Conductor
229498|269219|Drums
260721|269219|Guitar
259083|269219|Piano
259082|269219|Trumpet
135930|123553|Alto Saxophone
252998|123553|Bass
263097|123553|Drums
256065|123553|Guitar
267675|123553|Piano
30486|123553|Tenor Saxophone
64694|123553|Trumpet
307700|178116|Bass
228917|178116|Drums
252966|178116|Engineer|Lacquer Cut By
10096|178116|Flute
1688575|178116|Liner Notes
265629|178116|Piano
256568|178116|Recording Supervisor
149254|178116|Vibraphone
169989|332128|Bass
1829224|332128|Design
343046|332128|Drums
506272|332128|Engineer
104673|332128|Guitar
2001589|332128|Photography By
2264030|332128|Photography By
319919|332128|Producer
318693|332128|Recording Supervisor
295777|372610|Bass
490780|372610|Design
268270|372610|Drums
332791|372610|Liner Notes
292019|372610|Photography By
253065|372610|Piano
252962|372610|Producer
252966|372610|Recorded By
122384|345035|Alto Saxophone
255979|345035|Bass
10589|345035|Congas
1917712|345035|Cover
261196|345035|Drums
334380|345035|Liner Notes
272016|345035|Piano
252966|345035|Recorded By
284526|345035|Supervised By
45107|345035|Tenor Saxophone
179055|345035|Trumpet
253777|478942|Alto Saxophone
427125|478942|Bass
339536|478942|Drums
252966|478942|Engineer
252966|478942|Lacquer Cut By
334380|478942|Liner Notes
320757|478942|Piano
284526|478942|Supervised By|Photography By
327018|404205|Alto Saxophone
259075|404205|Bass
251780|404205|Bass
753374|404205|Bongos
490780|404205|Design
228917|404205|Drums
255556|404205|Drums
252966|404205|Lacquer Cut By
342667|404205|Liner Notes
292019|404205|Photography By
29992|404205|Piano
251783|404205|Piano
149254|404205|Piano|Vibraphone
252966|404205|Remastered By
267185|404205|Tenor Saxophone
145264|404205|Tenor Saxophone
272019|404205|Tenor Saxophone
309986|404205|Trumpet
272026|404205|Trumpet
251873|358601|Alto Saxophone|Liner Notes
257423|358601|Bass
299481|358601|Compiled By|Edited By|Mastered By
251873|358601|Composed By
1945235|358601|Design
135885|358601|Drums
517487|358601|Engineer
422024|358601|Engineer
323461|358601|Engineer
1635216|358601|Liner Notes
2445035|358601|Photography By
255116|358601|Piano
256170|358601|Producer
675733|360943|Bass
255767|360943|Bass
